no,memo,team
7197,전원 표시등이 깜빡이기만 합니다. 옆 센터도 같다고 합니다.,정비
7198,가까운 차 두고 먼 차를 배정함. 급하지는 않습니다.,관제
7199,오늘 아침에 점검 뒤에 상태가 더 나빠졌습니다.,관제
7200,며칠째 같은 노선에 두 대를 겹쳐 넣습니다.,관제
7201,점검 이후로 회신까지 시간이 오래 걸립니다. 개선안 적용한 뒤부터입니다.,통신
7202,우회 지시를 계속 반복합니다. 개선안 적용한 뒤부터입니다.,관제
7203,오늘 아침에 반응이 느려졌음.,통신
7204,재부팅 뒤에 설정이 초기값으로 돌아갑니다. 개선안 적용한 뒤부터입니다.,정비
7205,점검 이후로 우회 지시를 계속 반복합니다. 옆 센터도 같다고 합니다.,관제
7206,응답이 늦게 옴. 급하지는 않습니다.,통신
7207,며칠째 접속했다가 바로 떨어짐.,통신
7208,부팅 도중에 멈춰 서 있습니다.,정비
7209,오늘 아침에 전원 표시등이 깜빡이기만 합니다.,정비
7210,점검 이후로 중계기 구간에서 통신이 끊어집니다.,통신
7211,회신이 오래 걸림. 개선안 적용한 뒤부터입니다.,통신
7212,어제부터 경로를 엉뚱한 데로 잡음. 재부팅해도 그대로입니다.,관제
7213,지난주부터 회신까지 시간이 오래 걸립니다. 확인 부탁드립니다.,통신
7214,오늘 아침에 배차 순번이 뒤바뀌어 나옴.,관제
7215,본체 발열이 심함.,정비
7216,며칠째 경로를 엉뚱한 데로 잡음. 급하지는 않습니다.,관제
7217,신호가 잡히다 말다 합니다.,통신
7218,도착 예정 시각이 실제랑 다름. 확인 부탁드립니다.,관제
7219,오늘 아침에 가까운 차를 두고 먼 차를 배정합니다. 재부팅해도 그대로입니다.,관제
7220,며칠째 점검 뒤에 상태가 더 나빠졌습니다. 재부팅해도 그대로입니다.,관제
7221,도착 예정 시각이 실제랑 다름.,관제
7222,오늘 아침에 경로를 엉뚱한 데로 잡음. 재부팅해도 그대로입니다.,관제
7223,신호 세기가 갑자기 떨어집니다. 개선안 적용한 뒤부터입니다.,통신
7224,오늘 아침에 같은 노선에 두 대를 겹쳐 넣습니다.,관제
7225,며칠째 저장 공간이 자꾸 가득 찹니다. 재부팅해도 그대로입니다.,정비
7226,어제부터 연결 끊김이 잦음.,통신
7227,어제부터 배차 순번이 뒤바뀝니다. 개선안 적용한 뒤부터입니다.,관제
7228,며칠째 본체 발열이 심함.,정비
7229,어제부터 중계기 구간에서 통신이 끊어집니다. 재부팅해도 그대로입니다.,통신
7230,지난주부터 경로를 엉뚱한 데로 잡습니다. 개선안 적용한 뒤부터입니다.,관제
7231,재부팅 뒤에 설정이 초기값으로 돌아갑니다.,정비
7232,지난주부터 부팅 도중에 멈춰 서 있습니다. 재부팅해도 그대로입니다.,정비
7233,본체 발열이 심함.,정비
7234,점검 이후로 명령을 보내도 회신이 없습니다.,정비
7235,오늘 아침에 반응이 느려졌음.,통신
7236,저장 공간이 계속 참.,정비
7237,어제부터 경로를 엉뚱한 데로 잡음. 개선안 적용한 뒤부터입니다.,관제
7238,며칠째 명령을 보내도 회신이 없습니다.,통신
7239,배차 취소하고 다시 넣음. 확인 부탁드립니다.,관제
7240,배차를 취소했다가 다시 넣습니다.,관제
7241,며칠째 중계기 구간에서 통신이 끊어집니다. 개선안 적용한 뒤부터입니다.,통신
7242,며칠째 경로를 엉뚱한 데로 잡음.,관제
7243,며칠째 우회 지시를 반복해서 냅니다. 급하지는 않습니다.,관제
7244,며칠째 저장 공간이 계속 참.,정비
7245,오늘 아침에 부팅 중에 멈춰 있음. 재부팅해도 그대로입니다.,정비
7246,며칠째 재부팅 뒤에 설정이 초기값으로 돌아갑니다.,정비
7247,어제부터 부팅 도중에 멈춰 서 있습니다.,정비
7248,점검 이후로 빈 차를 차고로 돌려보내지 않습니다. 옆 센터도 같다고 합니다.,관제
7249,지난주부터 회신까지 시간이 오래 걸립니다. 옆 센터도 같다고 합니다.,통신
7250,오늘 아침에 냉각팬에서 소리가 심하게 납니다.,정비
7251,명령을 보내도 차가 안 움직임. 급하지는 않습니다.,관제
7252,어제부터 명령을 보내도 회신이 없습니다.,통신
7253,점검 이후로 접속했다가 바로 떨어짐. 재부팅해도 그대로입니다.,통신
7254,도착 예정 시각이 실제랑 다름. 개선안 적용한 뒤부터입니다.,관제
