id,hours,reboots,delay,errors,patched,again
4096,1210,14,516.4,15,1,1
4097,3480,11,226.6,19,1,0
4098,940,8,550.9,3,0,0
4099,1570,5,233.9,4,1,0
4100,2050,14,410.0,19,1,0
4101,1400,4,597.8,18,1,1
4102,3940,9,296.8,9,1,0
4103,1570,9,502.2,5,0,0
4104,2410,14,144.4,15,0,1
4105,2480,5,114.8,12,0,0
4106,690,11,264.5,17,1,0
4107,3250,7,491.3,7,1,1
4108,3730,9,60.6,15,1,0
4109,3210,12,554.9,19,1,1
4110,3170,3,345.9,19,0,0
4111,2280,13,283.9,17,1,0
4112,1820,7,511.2,6,1,1
4113,2510,9,341.3,13,1,0
4114,3550,14,460.1,20,0,1
4115,2160,8,256.5,9,0,0
4116,370,1,439.6,2,0,0
4117,1090,11,62.9,6,1,0
4118,2950,1,462.5,15,0,0
4119,860,7,328.7,0,0,0
4120,2640,12,207.9,5,1,0
4121,460,5,261.5,12,0,0
4122,1400,1,129.3,19,0,0
4123,470,5,46.6,15,0,0
4124,2580,11,587.9,6,0,0
4125,1640,4,565.8,15,0,0
4126,3850,2,89.4,17,0,0
4127,2700,13,376.2,7,1,0
4128,2530,5,432.8,7,0,0
4129,2200,3,498.4,1,1,1
4130,800,11,334.6,17,0,0
4131,2440,3,521.8,16,0,0
4132,1750,14,165.9,1,0,1
4133,3970,3,280.5,2,1,0
4134,2290,14,352.3,15,1,0
4135,3860,5,391.4,20,0,0
4136,1460,7,188.8,13,0,0
4137,3780,9,185.1,5,0,0
4138,240,3,490.1,6,1,1
4139,1260,0,237.4,12,1,0
4140,3510,10,442.3,10,0,0
4141,220,14,206.9,9,0,1
4142,720,6,507.2,13,1,1
4143,1690,3,183.8,16,0,0
4144,1930,14,567.3,17,0,1
4145,2370,8,271.5,3,1,0
4146,530,10,434.9,8,0,0
4147,1790,3,476.1,2,0,0
4148,520,13,372.8,8,0,1
4149,850,1,407.7,13,0,0
4150,240,2,154.8,10,1,0
4151,2080,10,267.9,18,0,0
4152,2630,11,225.3,20,0,0
4153,3390,8,386.4,9,1,0
4154,3620,9,570.5,11,1,1
4155,1200,5,229.4,11,0,0
4156,2590,13,384.6,14,1,0
4157,530,2,71.9,2,0,0
4158,2520,11,62.4,18,0,0
4159,3170,2,218.6,16,1,0
4160,1140,10,268.3,17,1,0
4161,2290,10,47.4,6,1,0
4162,3010,4,459.3,14,0,0
4163,3320,5,464.2,15,1,1
4164,3610,11,309.5,6,1,0
4165,2760,2,170.0,9,1,0
4166,3680,2,491.3,4,1,1
4167,1320,10,245.3,14,1,0
4168,1950,0,421.4,2,1,1
4169,2280,8,127.1,16,0,0
4170,880,7,271.7,10,0,0
4171,3410,6,316.5,20,1,0
4172,1210,3,138.0,18,0,0
4173,2730,2,522.8,8,0,0
4174,2860,5,326.6,5,0,0
4175,1010,8,245.6,19,1,0
4176,2570,13,436.0,18,0,1
4177,380,2,365.5,18,0,0
4178,3250,14,591.1,2,0,1
4179,3850,13,211.0,6,0,1
4180,540,4,272.4,16,0,0
4181,1110,6,255.3,8,0,0
4182,3170,4,119.5,14,0,1
4183,650,8,174.6,10,1,1
4184,3840,8,592.5,17,0,0
4185,2390,5,463.3,5,1,1
4186,2580,9,325.8,16,0,0
4187,1710,0,133.9,0,1,0
4188,2190,3,308.2,7,0,0
4189,3240,14,441.7,10,1,1
4190,2200,0,145.3,19,0,0
4191,2500,7,510.2,17,1,1
4192,3350,9,567.2,14,1,1
4193,3020,4,47.2,13,0,0
4194,3890,6,220.8,7,1,0
4195,1810,3,344.6,17,0,0
4196,940,1,188.4,18,1,0
4197,3740,1,182.3,16,0,0
4198,340,8,193.5,15,0,0
4199,3550,11,359.4,10,0,0
4200,2950,14,322.0,7,0,1
4201,3950,10,257.6,15,1,0
4202,3760,2,443.9,13,0,0
4203,3900,12,560.0,19,0,1
4204,1160,10,327.2,5,1,0
4205,3030,13,563.7,13,0,1
4206,510,14,413.7,8,0,1
4207,670,14,78.8,6,1,0
4208,2800,10,479.9,14,0,1
4209,2790,9,479.3,11,1,1
4210,3880,10,332.4,6,0,0
4211,1400,13,288.7,3,0,1
4212,740,1,543.6,9,0,0
4213,3840,13,263.0,18,0,1
4214,2570,5,406.6,9,0,0
4215,800,8,443.7,20,1,1
4216,830,12,376.4,20,0,1
4217,2620,5,118.4,3,1,1
4218,2470,9,422.2,8,0,0
4219,960,12,128.9,10,0,1
4220,3220,0,305.4,1,1,0
4221,1780,5,48.4,14,1,0
4222,480,7,81.5,11,1,0
4223,3480,0,156.5,20,0,0
4224,1900,7,533.2,1,0,0
4225,2530,13,373.1,8,1,0
4226,2300,13,574.6,16,0,1
4227,3260,1,116.5,6,0,0
4228,1690,0,463.7,0,0,0
4229,3400,2,523.8,15,1,1
4230,2380,13,91.9,16,0,1
4231,2650,8,84.3,6,1,0
4232,1190,12,367.4,0,0,1
4233,1360,0,498.1,9,1,1
4234,1660,1,480.8,16,0,0
4235,3230,12,306.8,3,1,0
4236,3230,6,215.0,5,1,0
4237,280,6,69.7,3,1,0
4238,1430,12,58.7,14,1,0
4239,1670,3,132.4,9,0,1
4240,1590,10,399.6,15,0,0
4241,2350,11,254.5,6,0,0
4242,2390,9,432.7,12,0,0
4243,3520,2,413.8,15,0,0
4244,2060,14,200.3,14,1,0
4245,2570,4,206.0,0,0,0
4246,1680,5,293.2,17,1,0
4247,2280,6,179.5,16,0,0
4248,3680,12,113.1,2,0,1
4249,1690,3,572.6,19,1,1
4250,2660,8,352.4,5,0,0
4251,2000,6,205.8,18,0,0
4252,1610,3,478.1,14,0,0
4253,1990,4,436.7,9,1,1
4254,2550,2,52.0,12,0,0
4255,2810,2,338.7,6,1,0
4256,1800,10,589.5,14,1,0
4257,1850,13,599.7,11,0,1
4258,3970,12,416.0,20,0,1
4259,1950,8,160.7,4,0,0
4260,220,9,191.1,18,0,1
4261,3050,9,342.7,8,0,0
4262,1320,14,440.0,19,1,1
4263,1880,8,56.8,14,1,0
4264,3390,4,539.2,15,1,1
4265,1830,0,377.5,13,1,0
4266,3430,3,223.0,10,1,0
4267,1790,6,101.7,20,1,0
4268,2620,12,554.4,6,1,1
4269,1890,11,315.7,14,1,0
4270,1780,1,183.0,4,0,0
4271,1940,1,517.2,2,1,1
4272,2420,13,112.6,17,1,0
4273,2770,0,125.2,15,0,0
4274,220,1,41.6,20,1,0
4275,3070,0,107.3,9,1,0
4276,1140,11,336.5,5,0,0
4277,750,2,494.9,13,1,1
4278,1420,9,199.0,19,1,0
4279,2460,1,409.9,17,1,0
4280,450,7,496.0,0,1,1
4281,3120,0,558.9,9,0,0
4282,520,13,261.3,13,0,1
4283,3500,14,438.4,2,0,1
4284,2050,8,385.9,0,1,0
4285,1660,12,412.7,8,0,1
4286,2920,7,269.7,16,1,0
4287,1970,13,118.2,15,0,1
4288,3030,6,346.1,10,0,0
4289,2140,12,333.5,1,1,0
4290,1160,0,113.6,12,0,0
4291,240,12,297.3,12,0,1
4292,3260,10,134.6,2,1,0
4293,3400,4,135.8,11,0,0
4294,1640,7,158.6,15,0,0
4295,1750,2,299.4,15,0,0
4296,1560,8,491.1,4,1,1
4297,740,12,531.1,0,1,0
4298,3370,1,400.4,3,0,0
4299,2950,13,455.2,4,1,0
4300,2180,10,131.3,18,0,0
