no,steps,bad
6014,자동정렬 압착 자동정렬 대기 수동정렬 검사 각인 경화 세척 경화 도포 각인 대기 검사 대기 압착 도포 검사 세척 도포 대기 검사 수동정렬,0
6015,자동정렬 자동정렬 세척 수동정렬 세척 재작업 도포 경화 이송 경화 검사 이송 검사 재작업 수동정렬 각인 이송 이송 도포 세척 각인 압착 세척 경화,0
6016,수동정렬 검사 각인 세척 각인 이송 경화 재작업 재작업 자동정렬 검사 경화 자동정렬 대기 대기 이송 검사 경화 수동정렬 검사 경화 재작업 재작업 이송 압착,1
6017,자동정렬 도포 도포 수동정렬 도포 경화 검사 각인 이송 세척 대기 경화 도포 압착 도포 세척 수동정렬 재작업 자동정렬 각인 재작업 각인 이송 세척 각인 경화,0
6018,수동정렬 수동정렬 대기 각인 세척 경화 자동정렬 압착 재작업 재작업 세척 각인 경화 재작업 각인 세척 자동정렬 검사 경화 재작업 각인 세척 검사 이송 재작업 도포,1
6019,자동정렬 경화 자동정렬 수동정렬 경화 재작업 이송 경화 도포 이송 경화 각인 검사 세척 이송 압착 재작업 검사 세척 압착 도포 수동정렬 도포 압착 재작업 경화 각인,1
6020,자동정렬 도포 압착 각인 대기 검사 자동정렬 이송 압착 압착 이송 경화 세척 경화 도포 수동정렬 경화 각인 대기 이송 수동정렬 검사 경화 이송 세척 검사,0
6021,수동정렬 경화 경화 압착 경화 압착 세척 각인 자동정렬 수동정렬 검사 경화 재작업 검사 도포 재작업 자동정렬 경화 경화 도포 세척 검사,1
6022,자동정렬 이송 세척 검사 세척 세척 대기 검사 검사 자동정렬 각인 대기 압착 압착 이송 각인 검사 세척 수동정렬 도포 경화 각인 이송 각인 도포 수동정렬 각인,0
6023,수동정렬 자동정렬 경화 수동정렬 대기 도포 압착 이송 대기 경화 압착 경화 경화 경화 압착 대기 대기 검사 세척 자동정렬 압착 세척 세척 대기 세척 도포 도포,1
6024,자동정렬 검사 자동정렬 압착 경화 경화 세척 각인 수동정렬 수동정렬 경화 이송 압착 세척 세척 경화 재작업 세척 재작업 도포 재작업 압착 재작업 대기 검사 도포,1
6025,자동정렬 검사 수동정렬 압착 이송 세척 이송 세척 도포 이송 검사 대기 수동정렬 도포 도포 압착 경화 경화 세척 재작업 자동정렬 각인 세척 검사 대기 도포,0
6026,자동정렬 압착 재작업 각인 수동정렬 검사 도포 도포 이송 대기 압착 도포 재작업 각인 각인 수동정렬 압착 이송 세척 도포 자동정렬 경화 경화 각인 경화,0
6027,수동정렬 재작업 이송 압착 세척 경화 검사 이송 경화 각인 이송 이송 자동정렬 대기 재작업 대기 검사 각인 압착 각인 자동정렬 수동정렬 이송,1
6028,수동정렬 각인 세척 경화 이송 압착 재작업 자동정렬 이송 도포 도포 수동정렬 이송 경화 자동정렬 각인 세척 각인 압착 도포 경화 도포,1
6029,수동정렬 대기 재작업 자동정렬 이송 이송 세척 대기 이송 수동정렬 검사 압착 재작업 재작업 경화 도포 이송 각인 재작업 경화 자동정렬 압착,1
6030,자동정렬 대기 이송 이송 검사 자동정렬 경화 이송 경화 도포 대기 도포 도포 세척 도포 이송 압착 수동정렬 수동정렬 도포 경화 경화 이송 각인,0
6031,자동정렬 도포 검사 대기 대기 수동정렬 이송 대기 경화 대기 압착 대기 자동정렬 압착 수동정렬 이송 세척 압착 대기 대기 도포 대기 재작업 세척 검사 재작업 이송,0
6032,수동정렬 각인 자동정렬 검사 대기 경화 수동정렬 대기 압착 검사 이송 검사 경화 세척 세척 압착 이송 도포 이송 검사 각인 경화 자동정렬 검사 각인 이송 압착 검사,1
6033,자동정렬 대기 각인 각인 수동정렬 압착 검사 이송 세척 압착 검사 세척 각인 세척 세척 경화 이송 경화 수동정렬 대기 자동정렬 경화 경화 대기 세척 경화,0
6034,자동정렬 재작업 수동정렬 검사 경화 이송 도포 대기 압착 압착 압착 도포 자동정렬 경화 압착 수동정렬 압착 압착 세척 압착 도포 재작업 경화 도포 검사 각인 세척,0
6035,자동정렬 세척 도포 압착 압착 대기 수동정렬 세척 재작업 이송 대기 자동정렬 대기 재작업 재작업 재작업 압착 수동정렬 경화 경화 경화 검사 검사 각인,1
6036,자동정렬 수동정렬 대기 검사 이송 검사 각인 도포 검사 이송 경화 검사 세척 각인 각인 재작업 도포 대기 각인 수동정렬 검사 자동정렬 검사,0
6037,수동정렬 재작업 경화 대기 각인 검사 각인 세척 검사 이송 도포 자동정렬 경화 압착 대기 경화 이송 도포 검사 검사 대기 자동정렬 수동정렬 검사 재작업 세척 대기,1
6038,자동정렬 대기 세척 경화 자동정렬 압착 대기 검사 대기 세척 재작업 수동정렬 각인 대기 경화 세척 재작업 경화 각인 대기 이송 압착 압착 이송 수동정렬,0
6039,자동정렬 각인 재작업 세척 경화 세척 압착 도포 세척 수동정렬 세척 압착 수동정렬 압착 각인 도포 재작업 자동정렬 압착 세척 압착 대기 대기 대기,0
6040,자동정렬 검사 이송 수동정렬 자동정렬 수동정렬 각인 재작업 도포 경화 압착 검사 이송 이송 대기 이송 각인 세척 경화 세척 세척 압착 도포 각인 재작업 도포 경화 이송,0
6041,자동정렬 압착 대기 재작업 압착 자동정렬 수동정렬 경화 경화 경화 경화 각인 세척 세척 도포 도포 대기 대기 수동정렬 경화 이송 각인 도포 검사,0
6042,수동정렬 대기 이송 대기 도포 대기 각인 자동정렬 세척 세척 검사 이송 압착 각인 재작업 수동정렬 도포 자동정렬 경화 경화 도포 각인 각인 이송,1
6043,자동정렬 검사 이송 이송 수동정렬 재작업 각인 각인 압착 이송 이송 도포 대기 압착 이송 이송 압착 재작업 세척 재작업 수동정렬 자동정렬 검사 검사 대기 재작업,1
6044,자동정렬 경화 재작업 검사 경화 세척 이송 도포 세척 각인 압착 각인 세척 수동정렬 압착 수동정렬 검사 검사 검사 자동정렬 경화 세척 이송 압착 대기 도포,0
6045,자동정렬 경화 각인 대기 각인 수동정렬 경화 압착 대기 자동정렬 재작업 압착 세척 세척 대기 압착 도포 경화 검사 수동정렬 압착 경화 검사 검사,0
6046,자동정렬 대기 재작업 경화 이송 재작업 세척 각인 이송 압착 세척 대기 자동정렬 수동정렬 재작업 수동정렬 대기 각인 재작업 세척 대기 재작업 이송 각인 이송 경화 각인 이송,1
6047,수동정렬 대기 재작업 이송 각인 경화 대기 경화 도포 자동정렬 경화 경화 경화 수동정렬 각인 재작업 각인 자동정렬 경화 경화 도포 검사,1
6048,자동정렬 도포 경화 이송 세척 대기 압착 대기 재작업 세척 이송 경화 수동정렬 대기 수동정렬 압착 재작업 이송 경화 세척 자동정렬 경화 이송 경화 도포 세척 도포,0
6049,자동정렬 세척 수동정렬 도포 경화 이송 경화 세척 경화 각인 경화 각인 세척 재작업 검사 재작업 재작업 세척 자동정렬 경화 재작업 수동정렬,1
6050,수동정렬 세척 각인 이송 검사 각인 각인 각인 자동정렬 도포 자동정렬 검사 세척 각인 경화 검사 재작업 재작업 압착 수동정렬 경화 각인,1
6051,자동정렬 검사 수동정렬 검사 압착 도포 검사 세척 자동정렬 압착 대기 검사 검사 대기 이송 도포 세척 검사 재작업 이송 수동정렬 경화 도포 대기 대기,0
6052,수동정렬 자동정렬 압착 검사 압착 압착 도포 압착 자동정렬 압착 각인 각인 압착 경화 검사 검사 대기 수동정렬 세척 경화 이송 대기,1
6053,자동정렬 재작업 압착 이송 대기 검사 세척 경화 대기 수동정렬 각인 대기 검사 수동정렬 각인 자동정렬 각인 압착 재작업 이송 각인 도포 도포 검사 압착 재작업,1
6054,자동정렬 압착 도포 경화 검사 수동정렬 수동정렬 세척 세척 이송 자동정렬 대기 경화 경화 이송 각인 대기 각인 대기 도포 대기 검사 세척 경화,0
6055,수동정렬 수동정렬 도포 경화 각인 재작업 자동정렬 대기 압착 대기 세척 자동정렬 각인 세척 세척 세척 경화 대기 각인 각인 경화 검사,1
6056,수동정렬 도포 이송 이송 이송 세척 자동정렬 수동정렬 압착 각인 각인 경화 경화 압착 경화 경화 재작업 경화 재작업 자동정렬 경화 세척,1
6057,수동정렬 도포 각인 도포 검사 자동정렬 각인 압착 세척 이송 재작업 자동정렬 각인 세척 검사 도포 검사 각인 도포 도포 경화 수동정렬 재작업 검사 각인,1
6058,수동정렬 각인 압착 세척 세척 재작업 도포 대기 압착 세척 이송 자동정렬 경화 각인 검사 재작업 압착 압착 재작업 세척 검사 자동정렬 검사 각인 압착 수동정렬 경화 경화,1
6059,수동정렬 도포 이송 도포 압착 자동정렬 검사 검사 도포 검사 재작업 재작업 검사 수동정렬 경화 각인 검사 자동정렬 검사 재작업 각인 압착 압착 재작업 압착 대기,1
6060,자동정렬 압착 압착 재작업 검사 도포 재작업 도포 도포 도포 도포 자동정렬 각인 세척 압착 수동정렬 검사 재작업 압착 압착 도포 압착 수동정렬,1
6061,수동정렬 압착 수동정렬 경화 이송 각인 각인 세척 검사 세척 압착 각인 이송 세척 각인 압착 대기 자동정렬 대기 자동정렬 압착 검사 이송 각인,1
6062,수동정렬 세척 이송 대기 검사 압착 경화 수동정렬 도포 검사 검사 대기 대기 자동정렬 대기 재작업 이송 세척 대기 자동정렬 도포 세척 경화,1
6063,수동정렬 경화 도포 검사 검사 경화 경화 자동정렬 세척 도포 대기 이송 압착 각인 세척 자동정렬 검사 경화 각인 수동정렬 각인 도포 각인 이송 각인 대기,1
6064,자동정렬 이송 도포 도포 이송 수동정렬 각인 도포 재작업 재작업 재작업 세척 경화 도포 세척 대기 검사 검사 자동정렬 대기 세척 검사 수동정렬 이송 경화,1
6065,자동정렬 이송 재작업 각인 이송 도포 대기 자동정렬 각인 대기 대기 이송 이송 세척 대기 각인 검사 경화 검사 경화 대기 이송 대기 수동정렬 수동정렬 대기 대기,0
6066,수동정렬 도포 검사 압착 대기 경화 검사 도포 이송 세척 경화 검사 대기 이송 각인 자동정렬 도포 이송 압착 경화 수동정렬 압착 자동정렬 경화 검사 이송 각인 도포,1
6067,자동정렬 대기 검사 대기 검사 각인 자동정렬 재작업 각인 압착 수동정렬 이송 대기 세척 수동정렬 압착 재작업 도포 압착 압착 도포 도포 대기 세척 검사 압착 압착,0
6068,자동정렬 검사 대기 이송 압착 도포 경화 대기 세척 검사 도포 수동정렬 수동정렬 대기 대기 각인 압착 검사 대기 도포 경화 이송 각인 자동정렬,0
6069,자동정렬 재작업 재작업 각인 자동정렬 수동정렬 검사 각인 경화 도포 경화 각인 도포 재작업 이송 세척 압착 수동정렬 재작업 검사 각인 도포 대기 경화 세척 대기 각인 압착,1
6070,수동정렬 세척 자동정렬 검사 경화 대기 수동정렬 도포 세척 세척 세척 각인 검사 도포 세척 이송 대기 경화 세척 자동정렬 재작업 검사 세척 세척,1
6071,자동정렬 자동정렬 재작업 수동정렬 도포 이송 대기 경화 검사 각인 이송 수동정렬 재작업 이송 대기 이송 이송 이송 이송 압착 검사 세척 검사 대기 세척,0
6072,자동정렬 수동정렬 재작업 대기 각인 대기 도포 대기 재작업 수동정렬 재작업 도포 재작업 경화 검사 도포 검사 도포 세척 대기 이송 자동정렬 도포 압착 재작업 각인,1
6073,자동정렬 대기 수동정렬 경화 압착 세척 세척 자동정렬 재작업 경화 수동정렬 경화 경화 세척 대기 도포 압착 각인 도포 도포 압착 이송 압착 재작업 세척 경화 도포,0
6074,자동정렬 대기 재작업 재작업 세척 세척 각인 각인 세척 도포 도포 각인 각인 수동정렬 경화 세척 검사 검사 수동정렬 각인 자동정렬 검사 재작업 도포 세척 경화,1
6075,수동정렬 세척 도포 검사 재작업 대기 도포 세척 압착 세척 도포 도포 수동정렬 도포 대기 재작업 압착 압착 경화 세척 재작업 검사 자동정렬 압착 자동정렬,1
6076,자동정렬 대기 세척 압착 도포 재작업 이송 경화 수동정렬 도포 경화 도포 각인 도포 도포 압착 검사 경화 압착 대기 자동정렬 이송 도포 압착 수동정렬,0
6077,자동정렬 세척 경화 도포 자동정렬 도포 재작업 대기 대기 재작업 이송 압착 대기 도포 재작업 각인 재작업 세척 도포 수동정렬 각인 대기 수동정렬 재작업 이송,1
6078,자동정렬 세척 검사 자동정렬 이송 도포 각인 대기 대기 각인 도포 경화 재작업 이송 이송 경화 도포 각인 수동정렬 도포 경화 경화 경화 대기 수동정렬 각인 경화 압착,0
6079,자동정렬 대기 각인 대기 이송 도포 경화 압착 수동정렬 수동정렬 경화 이송 세척 대기 대기 자동정렬 검사 검사 세척 재작업 세척 재작업 각인,0
6080,자동정렬 이송 압착 도포 세척 자동정렬 검사 검사 수동정렬 압착 수동정렬 세척 각인 검사 각인 도포 도포 대기 세척 대기 각인 세척 압착 대기 이송,0
6081,수동정렬 자동정렬 대기 압착 수동정렬 도포 세척 각인 이송 검사 도포 각인 압착 재작업 검사 자동정렬 대기 각인 각인 각인 도포 각인 압착,1
6082,자동정렬 대기 검사 재작업 검사 도포 압착 재작업 압착 경화 대기 재작업 수동정렬 자동정렬 경화 압착 도포 경화 세척 경화 경화 각인 검사 수동정렬 재작업 압착,1
6083,자동정렬 검사 자동정렬 세척 세척 이송 대기 이송 대기 각인 이송 경화 경화 수동정렬 각인 대기 각인 세척 대기 수동정렬 각인 검사 각인 각인 압착 경화,0
6084,수동정렬 재작업 이송 대기 도포 세척 대기 세척 대기 대기 자동정렬 이송 도포 도포 세척 수동정렬 재작업 경화 검사 압착 검사 자동정렬 검사 각인 각인 세척,1
6085,수동정렬 대기 경화 검사 경화 이송 대기 각인 자동정렬 재작업 압착 수동정렬 압착 대기 압착 이송 경화 이송 재작업 대기 자동정렬 세척,1
6086,자동정렬 압착 세척 이송 세척 수동정렬 수동정렬 경화 재작업 검사 대기 압착 압착 각인 압착 대기 검사 경화 자동정렬 이송 검사 대기 압착 경화 세척 이송,0
6087,수동정렬 검사 경화 경화 각인 압착 대기 재작업 자동정렬 각인 대기 도포 이송 검사 도포 이송 경화 재작업 자동정렬 경화 각인 경화 압착 대기 경화 각인 대기 수동정렬,1
6088,자동정렬 도포 각인 각인 자동정렬 각인 대기 재작업 경화 수동정렬 각인 압착 경화 도포 검사 재작업 압착 대기 각인 수동정렬 도포 재작업 도포 압착,1
6089,자동정렬 수동정렬 이송 검사 도포 재작업 재작업 재작업 경화 대기 압착 대기 자동정렬 이송 각인 재작업 각인 압착 압착 수동정렬 세척 경화 세척 재작업 압착,1
6090,자동정렬 경화 경화 재작업 검사 대기 이송 이송 수동정렬 재작업 수동정렬 압착 이송 세척 각인 도포 대기 자동정렬 압착 이송 경화 재작업,1
6091,자동정렬 재작업 압착 압착 이송 재작업 세척 수동정렬 각인 이송 압착 수동정렬 경화 경화 각인 대기 세척 압착 검사 이송 대기 자동정렬 대기 검사 검사,0
6092,수동정렬 압착 각인 세척 수동정렬 이송 자동정렬 경화 각인 도포 검사 대기 도포 경화 압착 자동정렬 검사 각인 세척 경화 대기 세척,1
6093,수동정렬 세척 도포 이송 각인 세척 수동정렬 대기 이송 경화 대기 자동정렬 자동정렬 검사 검사 이송 경화 세척 대기 세척 재작업 각인 도포 대기 경화 도포 세척 대기,1
6094,자동정렬 수동정렬 이송 각인 검사 재작업 각인 재작업 자동정렬 압착 경화 각인 도포 도포 압착 재작업 도포 각인 수동정렬 압착 대기 각인 이송,1
6095,자동정렬 각인 각인 경화 검사 경화 경화 대기 이송 각인 경화 이송 대기 각인 자동정렬 이송 경화 대기 경화 수동정렬 수동정렬 재작업 검사 세척 검사 검사 대기,0
6096,수동정렬 압착 이송 검사 검사 수동정렬 재작업 검사 검사 이송 도포 각인 재작업 검사 자동정렬 각인 압착 검사 자동정렬 압착 이송 압착 각인 이송,1
6097,수동정렬 도포 재작업 경화 세척 이송 이송 각인 도포 재작업 자동정렬 자동정렬 이송 대기 재작업 세척 대기 검사 도포 검사 수동정렬 압착 재작업,1
6098,자동정렬 이송 재작업 각인 자동정렬 이송 각인 이송 압착 수동정렬 압착 세척 대기 검사 대기 세척 도포 대기 도포 검사 압착 수동정렬 도포 재작업 각인 세척 세척,0
6099,수동정렬 도포 대기 대기 이송 대기 도포 경화 대기 자동정렬 검사 경화 이송 압착 대기 재작업 이송 이송 자동정렬 도포 재작업 경화 수동정렬,1
6100,수동정렬 경화 대기 경화 각인 경화 이송 재작업 수동정렬 이송 세척 자동정렬 대기 도포 자동정렬 재작업 압착 세척 이송 검사 세척 세척 재작업 경화 각인,1
6101,자동정렬 도포 이송 압착 이송 수동정렬 이송 각인 이송 이송 재작업 자동정렬 도포 도포 각인 수동정렬 검사 경화 재작업 도포 도포 검사 압착 대기 이송 이송,0
6102,수동정렬 검사 수동정렬 각인 세척 대기 검사 검사 압착 대기 대기 세척 자동정렬 검사 각인 재작업 각인 세척 검사 세척 이송 압착 세척 세척 자동정렬 압착 검사 대기,1
6103,수동정렬 압착 이송 압착 도포 압착 검사 압착 자동정렬 세척 이송 세척 세척 도포 재작업 압착 이송 자동정렬 각인 수동정렬 이송 재작업 재작업,1
6104,자동정렬 압착 도포 검사 경화 경화 도포 재작업 수동정렬 이송 각인 수동정렬 검사 재작업 압착 각인 이송 경화 압착 압착 검사 대기 대기 세척 경화 이송 대기 자동정렬,0
6105,자동정렬 자동정렬 각인 경화 각인 도포 도포 수동정렬 검사 도포 이송 이송 도포 도포 도포 각인 압착 이송 이송 검사 검사 경화 수동정렬 이송 압착,0
6106,자동정렬 도포 수동정렬 수동정렬 검사 경화 이송 대기 재작업 재작업 대기 압착 도포 재작업 경화 경화 압착 각인 검사 세척 재작업 압착 자동정렬,1
6107,자동정렬 수동정렬 이송 세척 자동정렬 도포 대기 도포 이송 수동정렬 도포 재작업 대기 각인 도포 대기 압착 이송 이송 압착 도포 이송 도포 재작업 대기,0
6108,자동정렬 압착 대기 검사 각인 자동정렬 도포 경화 이송 수동정렬 이송 각인 이송 압착 각인 이송 도포 경화 각인 경화 재작업 이송 이송 검사 재작업 경화 수동정렬 각인,0
6109,수동정렬 검사 재작업 세척 검사 이송 세척 이송 재작업 자동정렬 이송 이송 수동정렬 경화 재작업 도포 검사 이송 도포 이송 압착 압착 각인 세척 재작업 자동정렬 이송,1
6110,수동정렬 각인 각인 검사 각인 세척 도포 검사 이송 검사 자동정렬 각인 이송 경화 세척 검사 대기 경화 각인 도포 도포 수동정렬 자동정렬,1
6111,자동정렬 자동정렬 도포 이송 대기 검사 수동정렬 경화 이송 각인 세척 각인 경화 세척 압착 각인 도포 이송 대기 각인 압착 이송 수동정렬 세척 대기,0
6112,수동정렬 각인 각인 압착 자동정렬 수동정렬 도포 도포 압착 자동정렬 경화 압착 세척 경화 도포 각인 재작업 재작업 재작업 대기 압착 압착 세척 대기,1
6113,자동정렬 각인 각인 수동정렬 검사 검사 대기 수동정렬 이송 검사 세척 경화 자동정렬 경화 검사 이송 경화 검사 경화 검사 압착 도포 도포 이송 대기,0
6114,수동정렬 압착 자동정렬 재작업 각인 각인 재작업 이송 이송 압착 대기 세척 대기 경화 이송 이송 도포 대기 수동정렬 검사 이송 자동정렬,1
6115,자동정렬 대기 경화 수동정렬 도포 세척 이송 각인 이송 검사 압착 각인 수동정렬 대기 이송 세척 세척 도포 이송 세척 각인 도포 대기 자동정렬,0
6116,수동정렬 각인 검사 대기 세척 도포 도포 경화 검사 검사 각인 도포 각인 압착 수동정렬 대기 자동정렬 자동정렬 압착 세척 도포 도포,1
6117,수동정렬 압착 각인 경화 수동정렬 도포 이송 압착 세척 대기 이송 자동정렬 경화 이송 재작업 압착 이송 압착 자동정렬 각인 검사 대기,1
6118,수동정렬 검사 세척 세척 자동정렬 압착 경화 수동정렬 도포 자동정렬 이송 재작업 이송 경화 경화 이송 경화 도포 각인 재작업 압착 각인 경화,1
6119,수동정렬 이송 경화 검사 검사 이송 자동정렬 세척 도포 세척 수동정렬 각인 이송 도포 세척 각인 도포 세척 이송 경화 세척 이송 압착 자동정렬 대기 각인,1
6120,수동정렬 재작업 자동정렬 도포 도포 각인 수동정렬 대기 압착 검사 검사 대기 이송 대기 경화 도포 자동정렬 경화 세척 각인 압착 각인,1
6121,자동정렬 검사 자동정렬 압착 대기 도포 각인 재작업 각인 각인 각인 대기 재작업 경화 도포 압착 압착 이송 이송 이송 압착 도포 수동정렬 이송 수동정렬 세척,0
6122,자동정렬 재작업 검사 수동정렬 자동정렬 이송 도포 검사 재작업 각인 대기 도포 각인 세척 경화 수동정렬 압착 대기 도포 각인 검사 대기,0
6123,자동정렬 수동정렬 자동정렬 세척 경화 각인 각인 압착 검사 재작업 수동정렬 이송 대기 재작업 대기 검사 재작업 압착 압착 재작업 압착 경화,1
6124,자동정렬 경화 각인 도포 재작업 도포 재작업 검사 도포 각인 이송 수동정렬 압착 자동정렬 각인 대기 세척 각인 세척 검사 검사 검사 경화 수동정렬 경화 대기,0
6125,수동정렬 각인 수동정렬 압착 각인 재작업 자동정렬 세척 검사 재작업 각인 도포 도포 대기 경화 도포 이송 대기 검사 자동정렬 도포 각인 도포 각인,1
6126,자동정렬 검사 세척 재작업 경화 수동정렬 압착 세척 세척 자동정렬 각인 재작업 검사 도포 도포 재작업 대기 수동정렬 대기 재작업 경화 경화 검사 재작업,1
6127,자동정렬 경화 각인 세척 세척 각인 압착 경화 대기 대기 세척 세척 압착 각인 검사 자동정렬 각인 검사 이송 수동정렬 각인 경화 수동정렬 대기 도포 각인,0
6128,자동정렬 대기 각인 수동정렬 이송 각인 검사 재작업 도포 검사 이송 도포 검사 이송 이송 경화 도포 세척 각인 경화 재작업 수동정렬 자동정렬 도포 세척,0
6129,자동정렬 재작업 압착 이송 세척 재작업 압착 대기 검사 재작업 검사 압착 도포 압착 경화 도포 각인 대기 수동정렬 검사 압착 수동정렬 자동정렬,1
6130,자동정렬 세척 각인 자동정렬 세척 압착 대기 각인 각인 도포 압착 압착 수동정렬 이송 도포 압착 압착 세척 수동정렬 압착 검사 각인 검사 대기 경화 대기 압착 압착,0
6131,자동정렬 자동정렬 재작업 세척 수동정렬 경화 압착 재작업 경화 압착 도포 압착 압착 재작업 대기 검사 세척 도포 각인 이송 재작업 검사 수동정렬 각인 재작업 경화 도포,1
6132,자동정렬 도포 경화 대기 이송 대기 자동정렬 검사 각인 각인 재작업 도포 각인 압착 경화 경화 대기 대기 세척 압착 경화 수동정렬 이송 대기 대기 수동정렬,0
6133,수동정렬 수동정렬 대기 대기 세척 경화 이송 각인 검사 각인 각인 이송 각인 세척 세척 압착 도포 대기 이송 도포 자동정렬 자동정렬 이송 대기,1
6134,자동정렬 수동정렬 압착 각인 대기 재작업 대기 압착 검사 검사 재작업 경화 경화 자동정렬 세척 각인 대기 재작업 압착 세척 도포 도포 대기 수동정렬,1
6135,수동정렬 압착 수동정렬 자동정렬 도포 경화 압착 대기 이송 대기 대기 이송 도포 도포 세척 이송 도포 자동정렬 세척 세척 대기 이송 각인 도포 검사 검사 대기,1
6136,수동정렬 대기 재작업 도포 압착 이송 자동정렬 대기 압착 경화 도포 재작업 세척 대기 압착 압착 도포 재작업 수동정렬 자동정렬 경화 세척 경화 이송,1
6137,자동정렬 대기 각인 수동정렬 재작업 경화 재작업 세척 이송 경화 검사 경화 대기 검사 이송 대기 수동정렬 자동정렬 압착 대기 대기 각인,0
6138,수동정렬 재작업 압착 재작업 각인 자동정렬 압착 대기 수동정렬 이송 각인 검사 검사 도포 도포 대기 각인 검사 이송 이송 자동정렬 각인,1
6139,자동정렬 검사 도포 각인 자동정렬 도포 수동정렬 각인 도포 압착 압착 수동정렬 각인 이송 이송 경화 경화 경화 압착 경화 이송 각인 압착 세척,0
6140,자동정렬 자동정렬 세척 수동정렬 수동정렬 각인 각인 도포 경화 이송 각인 재작업 검사 세척 도포 경화 도포 도포 재작업 세척 대기 대기,0
6141,자동정렬 각인 경화 대기 검사 압착 세척 자동정렬 수동정렬 경화 이송 도포 세척 도포 수동정렬 경화 경화 압착 도포 압착 세척 도포,0
6142,수동정렬 각인 재작업 도포 압착 대기 도포 도포 압착 경화 검사 자동정렬 검사 검사 수동정렬 대기 재작업 자동정렬 이송 대기 도포 대기 이송 이송 대기 세척 대기,1
6143,자동정렬 세척 도포 각인 도포 각인 이송 세척 도포 도포 자동정렬 경화 검사 검사 수동정렬 재작업 경화 압착 수동정렬 검사 대기 대기 검사 압착,0
6144,자동정렬 도포 경화 압착 재작업 경화 이송 도포 검사 수동정렬 경화 자동정렬 압착 경화 세척 세척 각인 경화 수동정렬 도포 세척 경화 도포 이송,0
6145,자동정렬 경화 이송 압착 세척 경화 검사 세척 수동정렬 경화 각인 재작업 각인 대기 수동정렬 도포 세척 이송 경화 이송 압착 이송 대기 자동정렬 대기 재작업,0
6146,수동정렬 경화 각인 대기 이송 이송 대기 이송 자동정렬 경화 대기 수동정렬 재작업 세척 재작업 대기 각인 압착 대기 각인 세척 세척 도포 재작업 자동정렬 재작업 경화,1
6147,자동정렬 각인 도포 대기 재작업 이송 대기 경화 각인 수동정렬 도포 경화 재작업 경화 이송 경화 압착 수동정렬 압착 자동정렬 세척 압착,0
6148,자동정렬 도포 경화 검사 검사 자동정렬 각인 이송 경화 검사 세척 도포 재작업 각인 이송 검사 경화 수동정렬 압착 수동정렬 이송 대기 경화,0
6149,자동정렬 이송 각인 수동정렬 이송 대기 도포 대기 검사 도포 대기 세척 도포 검사 대기 이송 수동정렬 압착 자동정렬 검사 압착 압착,0
