no,events,accident
5363,자동 경보 해제 대기 해제 경보 해제 경보 통과 해제 수동 해제 수동 진입 진입 대기 자동 지연 해제 통과 통과 복귀 진입 지연 해제 해제 자동 경보 지연 수동 지연 복귀,0
5383,자동 복귀 복귀 점검 복귀 자동 자동 진입 복귀 경보 수동 통과 대기 수동 수동 통과 점검 대기 진입 경보 경보 경보 지연 통과,0
5039,자동 자동 복귀 대기 복귀 점검 수동 해제 경보 해제 수동 점검 자동 점검 대기 경보 지연 점검 진입 진입 진입 경보 대기 점검 대기 통과 수동 지연 경보 대기 복귀 진입 통과,0
5362,수동 진입 자동 지연 진입 복귀 복귀 진입 해제 진입 자동 수동 대기 대기 대기 대기 대기 자동 수동 점검 경보 경보 대기 복귀 통과 해제,1
5082,수동 통과 지연 경보 대기 대기 해제 대기 통과 진입 대기 수동 자동 대기 자동 지연 해제 수동 통과 경보 대기 점검 지연 자동 해제,1
5066,수동 경보 점검 대기 진입 대기 통과 대기 해제 해제 대기 진입 해제 대기 대기 자동 점검 수동 통과 통과 수동 점검 대기 자동 대기 점검 해제 경보 경보 복귀 복귀 지연 자동,1
5198,수동 진입 지연 경보 경보 자동 지연 해제 경보 진입 경보 복귀 해제 해제 통과 통과 대기 점검 복귀 경보 지연 진입 점검 복귀 수동 대기 복귀 해제 통과 자동 해제 점검 점검 자동 대기 수동,1
5243,자동 진입 진입 통과 통과 경보 복귀 해제 해제 진입 복귀 통과 해제 지연 복귀 자동 해제 점검 자동 통과 진입 지연 진입 통과 점검 수동 경보 대기 경보 통과 수동 수동 해제 지연 진입,0
5400,수동 경보 경보 지연 해제 지연 해제 복귀 점검 통과 대기 진입 자동 수동 점검 자동 해제 해제 경보 진입 수동 대기 통과 진입 진입 경보 해제 자동,1
5121,자동 복귀 대기 해제 진입 자동 경보 통과 통과 수동 점검 복귀 지연 해제 수동 경보 진입 복귀 통과 통과 지연 수동 진입 통과 지연 자동 점검,0
5096,수동 대기 진입 진입 진입 통과 지연 통과 해제 자동 자동 경보 점검 통과 복귀 대기 대기 지연 복귀 경보 대기 복귀 수동 경보 대기 진입 수동 통과 자동,1
5238,수동 지연 자동 점검 통과 해제 통과 점검 대기 통과 경보 복귀 해제 해제 지연 자동 지연 수동 경보 자동 점검 복귀 경보 대기 수동 진입 점검,1
5088,수동 대기 지연 지연 자동 자동 자동 대기 경보 진입 복귀 점검 진입 경보 수동 통과 점검 진입 수동 진입 복귀 경보 해제 대기 통과,1
5365,자동 지연 대기 경보 점검 경보 대기 자동 경보 수동 수동 수동 진입 지연 지연 점검 경보 지연 점검 지연 지연 해제 경보 지연 해제 진입 통과 자동 대기 통과 진입,0
5186,수동 자동 점검 복귀 통과 진입 지연 대기 자동 지연 통과 수동 점검 점검 통과 진입 점검 해제 자동 대기 통과 수동 대기 진입 대기 지연,1
5034,수동 점검 경보 경보 점검 대기 대기 해제 통과 지연 점검 진입 복귀 자동 지연 경보 지연 경보 대기 수동 해제 자동 복귀 진입 경보 진입 지연 대기 해제 대기 복귀 통과 수동 점검 자동,1
5147,자동 해제 복귀 해제 경보 경보 수동 점검 자동 자동 통과 수동 경보 수동 지연 해제 진입 점검 복귀 통과 지연 대기 통과 대기 대기 지연 대기,0
5064,수동 자동 진입 진입 자동 복귀 지연 대기 경보 통과 진입 통과 점검 복귀 자동 통과 통과 수동 수동 지연 해제 점검 해제 통과 통과 해제,1
5102,수동 자동 자동 해제 지연 수동 자동 해제 통과 해제 해제 해제 해제 복귀 대기 지연 진입 수동 대기 점검 경보 경보 해제 점검,1
5353,자동 해제 진입 점검 해제 복귀 점검 복귀 지연 경보 해제 해제 경보 해제 수동 경보 대기 자동 복귀 자동 복귀 점검 지연 해제 수동 수동,0
5115,자동 대기 경보 수동 점검 해제 지연 대기 수동 자동 진입 경보 해제 자동 지연 복귀 진입 대기 복귀 점검 수동 경보 해제 경보 통과,0
5150,수동 복귀 진입 대기 복귀 점검 자동 지연 점검 해제 진입 자동 자동 통과 복귀 통과 해제 해제 진입 수동 대기 점검 해제 경보 대기 수동 해제 해제 지연 해제 대기 해제 진입 통과,1
5023,자동 경보 경보 대기 대기 통과 자동 점검 대기 지연 수동 대기 진입 지연 지연 수동 지연 점검 통과 지연 통과 경보 해제 복귀 경보 수동 통과 자동 대기 통과 대기 진입 지연,0
5104,수동 점검 진입 점검 경보 진입 해제 진입 통과 점검 점검 진입 자동 점검 진입 복귀 점검 수동 점검 진입 지연 통과 수동 대기 지연 자동 자동 진입 통과 진입 복귀 진입 점검 복귀 지연 통과,1
5027,자동 통과 해제 경보 진입 경보 진입 복귀 지연 지연 복귀 통과 해제 대기 대기 자동 자동 수동 지연 대기 수동 수동 대기 지연 진입 대기 대기 점검 진입,0
5229,자동 통과 통과 진입 해제 진입 지연 통과 해제 점검 대기 경보 지연 통과 수동 대기 자동 복귀 대기 지연 대기 해제 대기 수동 경보 진입 지연 점검 수동 통과 경보 점검 자동 해제 점검,0
5012,수동 통과 자동 통과 해제 통과 복귀 해제 점검 진입 진입 통과 수동 진입 지연 지연 점검 지연 진입 진입 해제 경보 수동 점검 지연 자동 자동 복귀 해제 지연 경보 점검,1
5061,자동 해제 지연 지연 경보 경보 통과 해제 진입 해제 해제 점검 자동 복귀 경보 대기 점검 자동 경보 수동 해제 지연 수동 수동 점검 대기 대기 대기 진입 지연,0
5248,수동 경보 점검 점검 경보 수동 복귀 지연 점검 자동 경보 대기 수동 통과 통과 자동 복귀 자동 복귀 점검 해제 통과 복귀 점검 점검,1
5345,자동 자동 해제 해제 수동 경보 경보 대기 진입 대기 점검 대기 복귀 자동 수동 대기 대기 복귀 점검 수동 해제 통과 점검 복귀 통과,0
5284,수동 대기 점검 진입 복귀 해제 해제 수동 해제 진입 자동 통과 지연 해제 진입 경보 경보 진입 대기 통과 대기 해제 수동 점검 통과 점검 지연 해제 해제 진입 자동 복귀 점검 자동,1
5223,자동 점검 진입 수동 복귀 해제 진입 통과 자동 지연 복귀 통과 수동 수동 지연 점검 자동 경보 점검 경보 진입 복귀 해제 해제,0
5260,수동 자동 통과 점검 진입 복귀 지연 복귀 해제 지연 진입 점검 점검 경보 진입 진입 진입 점검 경보 진입 복귀 대기 수동 경보 통과 수동 대기 자동 자동 진입 경보 대기,1
5249,자동 해제 해제 대기 자동 점검 해제 대기 수동 경보 대기 통과 진입 복귀 통과 대기 대기 해제 수동 대기 지연 자동 해제 점검 수동,0
5218,수동 대기 해제 해제 대기 대기 진입 자동 통과 통과 해제 대기 점검 해제 복귀 지연 대기 통과 자동 경보 해제 복귀 지연 점검 통과 자동 복귀 진입 통과 경보 수동 복귀 진입 해제 경보 수동,1
5271,자동 수동 대기 진입 해제 해제 수동 점검 수동 경보 지연 지연 해제 경보 대기 경보 복귀 복귀 점검 점검 진입 자동 통과 점검 자동 진입 지연 통과 대기 복귀,0
5126,수동 경보 진입 점검 통과 경보 복귀 자동 점검 진입 자동 경보 수동 수동 점검 복귀 해제 진입 지연 복귀 복귀 자동 복귀 경보 점검 진입 해제 통과 경보,1
5010,수동 점검 해제 복귀 통과 자동 해제 대기 지연 해제 해제 통과 복귀 대기 경보 진입 자동 진입 수동 진입 자동 복귀 해제 진입 수동 진입 지연 복귀 해제 복귀 대기 진입 통과,1
5181,자동 수동 진입 통과 점검 대기 복귀 복귀 대기 진입 대기 지연 점검 복귀 점검 경보 자동 진입 수동 통과 해제 통과 자동 수동 대기,0
5211,자동 지연 점검 수동 수동 지연 자동 경보 복귀 복귀 대기 점검 진입 수동 점검 점검 지연 대기 복귀 지연 대기 자동 대기 통과,0
5149,자동 지연 지연 진입 진입 수동 해제 지연 자동 수동 지연 점검 자동 경보 통과 지연 점검 복귀 경보 점검 지연 지연 통과 경보 수동 진입 복귀 경보 해제 대기,0
5240,수동 복귀 대기 점검 자동 지연 통과 진입 수동 해제 자동 통과 점검 자동 지연 통과 지연 복귀 통과 해제 점검 경보 점검 경보 해제 복귀 대기 진입 경보 대기 통과 수동 진입 지연 진입,1
5123,자동 경보 진입 수동 해제 통과 점검 점검 수동 통과 진입 수동 자동 복귀 대기 통과 지연 통과 통과 대기 대기 자동 지연 진입,0
5201,자동 수동 자동 대기 진입 통과 해제 진입 자동 대기 수동 해제 지연 대기 해제 진입 수동 지연 점검 복귀 점검 복귀 진입 점검 진입,0
5076,수동 경보 지연 대기 해제 통과 자동 자동 통과 점검 경보 해제 경보 수동 복귀 수동 자동 해제 대기 지연 진입 해제 경보 통과 경보 복귀,1
5274,수동 점검 경보 경보 경보 지연 점검 경보 통과 진입 지연 해제 점검 진입 자동 자동 수동 경보 경보 통과 지연 복귀 자동 점검 수동 점검 복귀 점검 점검,1
5344,수동 자동 진입 자동 자동 지연 해제 경보 점검 점검 경보 해제 대기 수동 수동 지연 대기 복귀 진입 해제 점검 해제 진입 지연 통과 경보 복귀,1
5108,수동 통과 통과 통과 경보 해제 해제 통과 경보 진입 해제 지연 경보 점검 대기 해제 지연 경보 수동 지연 통과 지연 대기 자동 수동 경보 진입 자동 자동 복귀 지연 대기,1
5355,자동 복귀 지연 진입 지연 통과 자동 복귀 지연 자동 진입 경보 점검 수동 통과 수동 복귀 복귀 해제 해제 복귀 지연 지연 수동 지연 통과 복귀 경보,0
5331,자동 통과 자동 경보 경보 수동 통과 지연 수동 통과 경보 수동 경보 해제 대기 지연 지연 진입 해제 해제 진입 지연 진입 통과 대기 경보 점검 지연 자동 복귀,0
5167,자동 복귀 지연 수동 지연 점검 해제 통과 자동 복귀 지연 복귀 복귀 수동 점검 수동 지연 대기 지연 점검 자동 점검 점검 진입 진입 대기 통과,0
5320,수동 해제 대기 복귀 자동 통과 진입 대기 통과 지연 지연 통과 대기 진입 수동 진입 자동 진입 경보 점검 자동 수동 복귀 통과,1
5136,수동 통과 진입 점검 진입 통과 경보 복귀 지연 해제 수동 진입 통과 대기 지연 통과 경보 자동 해제 경보 복귀 수동 복귀 지연 자동 복귀 점검 자동 통과,1
5199,자동 해제 자동 점검 수동 해제 점검 진입 지연 통과 진입 지연 통과 자동 지연 수동 점검 지연 진입 점검 해제 수동 점검 대기 진입 해제 경보 지연 통과 진입 통과 지연,0
5092,수동 진입 진입 경보 복귀 진입 지연 복귀 자동 해제 자동 해제 복귀 지연 복귀 경보 경보 자동 수동 통과 지연 해제 통과 경보 복귀 수동,1
5138,수동 진입 자동 지연 자동 수동 진입 진입 통과 통과 자동 점검 해제 경보 수동 대기 점검 경보 지연 해제 통과 지연 점검 복귀 진입 진입,1
5348,수동 경보 통과 자동 지연 진입 경보 대기 통과 점검 진입 수동 점검 수동 점검 해제 지연 자동 자동 대기 복귀 점검 점검 통과 경보 해제 통과,1
5343,자동 수동 점검 해제 진입 수동 진입 경보 수동 점검 대기 자동 경보 해제 통과 진입 해제 자동 경보 지연 대기 경보 대기 복귀 복귀,0
5174,수동 진입 해제 수동 통과 자동 수동 자동 점검 점검 대기 복귀 진입 통과 지연 지연 경보 복귀 자동 복귀 복귀 점검 해제 통과,1
5303,자동 대기 진입 자동 수동 점검 점검 통과 대기 수동 해제 점검 통과 점검 복귀 대기 진입 자동 진입 수동 진입 통과 경보 점검,0
5002,수동 해제 점검 대기 통과 경보 자동 통과 진입 진입 해제 진입 점검 수동 해제 자동 대기 지연 대기 수동 지연 진입 자동 점검 해제 진입,1
5122,수동 통과 자동 대기 복귀 자동 통과 복귀 통과 경보 복귀 복귀 진입 해제 진입 점검 경보 수동 해제 자동 경보 지연 점검 수동 대기,1
5312,수동 복귀 자동 수동 복귀 해제 자동 복귀 해제 점검 복귀 대기 점검 점검 지연 복귀 지연 진입 점검 대기 지연 진입 수동 해제 해제 복귀 자동 경보 경보 지연 지연 해제 진입,1
5159,자동 대기 진입 대기 통과 진입 수동 수동 경보 경보 자동 지연 해제 해제 경보 수동 통과 진입 지연 지연 지연 대기 대기 복귀 복귀 점검 진입 자동,0
5156,수동 경보 해제 해제 수동 경보 대기 대기 점검 점검 통과 지연 지연 지연 자동 진입 통과 수동 복귀 통과 복귀 통과 통과 자동 통과 경보 통과 자동 대기 점검,1
5119,자동 경보 대기 지연 지연 복귀 수동 수동 대기 진입 수동 해제 지연 자동 점검 자동 진입 경보 복귀 대기 해제 대기 해제 경보 경보 대기 복귀,0
5140,수동 수동 진입 경보 경보 지연 자동 대기 점검 자동 수동 대기 통과 해제 진입 대기 대기 자동 해제 통과 지연 해제 통과 점검,1
5278,수동 수동 복귀 경보 점검 해제 진입 해제 자동 통과 점검 지연 해제 지연 해제 진입 복귀 경보 점검 자동 점검 수동 통과 자동 점검 대기 대기 진입,1
5051,자동 해제 복귀 자동 진입 점검 대기 통과 해제 수동 통과 통과 진입 수동 대기 자동 지연 수동 지연 통과 대기 진입 해제 경보,0
5307,자동 복귀 점검 통과 진입 통과 진입 해제 대기 대기 지연 수동 점검 지연 자동 점검 진입 대기 경보 대기 경보 통과 지연 해제 경보 자동 통과 복귀 수동 진입 수동 대기 대기 대기,0
5262,수동 복귀 통과 지연 통과 통과 수동 경보 해제 진입 복귀 통과 경보 통과 수동 자동 지연 통과 통과 대기 복귀 자동 대기 통과 자동 복귀 통과 지연 진입 대기 경보 대기 대기,1
5162,수동 자동 경보 수동 지연 경보 복귀 통과 경보 지연 대기 경보 진입 진입 경보 점검 진입 경보 점검 경보 해제 복귀 점검 해제 자동 수동 자동,1
5128,수동 수동 지연 진입 자동 통과 점검 자동 점검 지연 진입 지연 지연 복귀 지연 경보 수동 자동 복귀 복귀 점검 진입 대기 진입 복귀 진입 대기 진입,1
5397,자동 진입 자동 수동 자동 점검 해제 통과 진입 지연 점검 지연 지연 해제 통과 대기 해제 지연 복귀 대기 해제 대기 수동 해제 점검 수동 해제 점검 경보,0
5175,자동 자동 복귀 복귀 진입 해제 지연 수동 자동 복귀 대기 대기 지연 대기 경보 해제 점검 대기 진입 진입 수동 경보 지연 점검 점검 진입 진입 수동,0
5264,수동 복귀 자동 지연 해제 점검 대기 해제 복귀 통과 수동 진입 자동 경보 점검 해제 지연 경보 자동 복귀 경보 대기 수동 대기,1
5272,수동 대기 경보 지연 점검 복귀 자동 수동 복귀 자동 복귀 경보 지연 경보 진입 대기 경보 수동 지연 대기 대기 자동 복귀 대기 해제 진입 지연 경보 지연 복귀 진입 통과 대기 점검,1
5254,수동 진입 수동 경보 복귀 경보 해제 지연 자동 대기 대기 지연 통과 대기 수동 복귀 지연 통과 대기 복귀 자동 해제 지연 지연 경보 점검 경보 경보 진입 자동 통과 해제 통과 대기 해제 진입,1
5049,자동 지연 해제 통과 진입 점검 복귀 통과 자동 진입 수동 진입 지연 경보 해제 점검 수동 점검 해제 자동 수동 경보 경보 점검 지연 점검 복귀 해제 진입,0
5380,수동 수동 대기 지연 해제 해제 통과 점검 경보 수동 복귀 통과 복귀 경보 대기 자동 지연 복귀 점검 해제 대기 해제 진입 점검 자동 자동,1
5350,수동 복귀 해제 해제 점검 대기 진입 수동 복귀 통과 해제 복귀 통과 수동 복귀 자동 대기 지연 진입 점검 자동 점검 자동 점검,1
5168,수동 통과 경보 수동 점검 자동 자동 해제 통과 지연 수동 통과 경보 경보 경보 진입 복귀 점검 지연 대기 해제 자동 통과 해제 진입 해제 지연 경보 지연 대기 통과 점검 점검 지연 대기,1
5222,수동 경보 점검 자동 자동 점검 진입 지연 복귀 대기 경보 통과 통과 경보 지연 경보 수동 점검 점검 복귀 지연 수동 복귀 자동 진입,1
5371,자동 수동 지연 진입 자동 점검 해제 진입 경보 경보 통과 복귀 수동 통과 해제 지연 해제 해제 점검 해제 대기 진입 지연 대기 통과 통과 진입 지연 진입 수동 진입 해제 경보 자동,0
5116,수동 해제 복귀 수동 대기 진입 경보 점검 지연 점검 대기 경보 복귀 경보 자동 해제 자동 자동 수동 대기 복귀 통과 대기 통과,1
5282,수동 진입 진입 점검 통과 통과 통과 지연 복귀 수동 자동 해제 해제 진입 진입 진입 진입 통과 진입 경보 경보 수동 자동 해제 자동 대기 경보 진입 통과 지연 점검 통과 경보,1
5069,자동 복귀 경보 수동 복귀 복귀 점검 경보 경보 해제 해제 진입 점검 자동 대기 대기 복귀 지연 해제 자동 지연 진입 통과 경보 통과 수동 진입 통과 수동 해제 대기 복귀,0
5295,자동 복귀 해제 통과 점검 경보 점검 통과 대기 해제 경보 자동 통과 해제 해제 수동 복귀 수동 경보 자동 진입 경보 진입 대기 통과 통과 통과 대기 진입 통과 경보 수동 점검 통과 통과 지연,0
5030,수동 경보 통과 수동 진입 진입 경보 점검 경보 수동 경보 통과 해제 점검 자동 점검 경보 복귀 지연 경보 복귀 복귀 점검 통과 복귀 대기 복귀 진입 점검 경보 지연 자동 경보 대기 자동,1
5074,수동 자동 경보 점검 수동 지연 통과 복귀 해제 복귀 지연 대기 수동 지연 해제 지연 통과 경보 통과 해제 복귀 자동 복귀 점검 통과 지연 점검 복귀 통과 복귀 자동 통과 통과 진입 해제 진입,1
5172,수동 지연 점검 점검 진입 경보 대기 해제 지연 대기 경보 자동 통과 지연 수동 진입 수동 점검 경보 점검 점검 점검 진입 진입 점검 자동 대기 자동,1
5145,자동 해제 진입 해제 해제 대기 경보 수동 대기 해제 복귀 경보 대기 진입 지연 지연 복귀 점검 수동 진입 점검 경보 복귀 자동 지연 점검 자동 복귀 수동 지연 점검 지연 경보 지연,0
5033,자동 복귀 통과 자동 수동 진입 복귀 경보 경보 수동 경보 진입 해제 점검 복귀 대기 수동 진입 점검 지연 자동 점검 경보 진입 지연 복귀 복귀 진입 통과 해제 통과,0
5334,수동 점검 지연 대기 통과 자동 진입 진입 해제 통과 지연 지연 지연 수동 수동 점검 대기 대기 점검 점검 자동 점검 지연 경보 해제 복귀 대기 자동 진입 복귀 경보 대기 점검 해제 경보 점검,1
5319,자동 통과 경보 수동 점검 점검 수동 점검 자동 점검 복귀 대기 지연 복귀 수동 통과 점검 복귀 대기 대기 대기 대기 경보 점검 지연 점검 해제 자동 진입,0
5022,수동 지연 복귀 해제 복귀 자동 자동 대기 대기 지연 해제 해제 점검 수동 통과 점검 통과 지연 경보 경보 대기 해제 진입 점검 경보 지연 수동 지연 자동 복귀 통과 경보 복귀,1
5133,자동 점검 수동 진입 수동 통과 복귀 경보 지연 점검 해제 지연 통과 통과 통과 대기 점검 진입 점검 자동 진입 자동 해제 수동 복귀 해제 통과,0
5326,수동 자동 자동 지연 대기 지연 복귀 복귀 통과 복귀 점검 통과 대기 수동 수동 해제 진입 경보 지연 자동 복귀 경보 점검 지연 복귀 지연 대기 해제,1
5171,자동 진입 진입 진입 수동 점검 진입 진입 복귀 해제 해제 수동 복귀 점검 진입 대기 지연 수동 대기 진입 통과 자동 통과 경보 통과 자동 진입 지연 경보 복귀 대기 점검,0
5375,자동 자동 진입 진입 통과 해제 진입 통과 수동 점검 지연 통과 진입 해제 복귀 복귀 해제 수동 해제 해제 통과 대기 진입 자동 경보 복귀 수동 경보 통과 점검 지연 복귀 진입 경보,0
5349,자동 경보 점검 복귀 수동 지연 자동 통과 지연 경보 지연 점검 점검 수동 수동 대기 대기 경보 진입 해제 경보 복귀 자동 경보,0
5165,자동 해제 수동 점검 통과 수동 대기 자동 점검 복귀 진입 점검 점검 진입 자동 통과 지연 통과 복귀 통과 대기 수동 통과 진입 진입 대기 해제 통과 통과 경보,0
5313,자동 경보 수동 점검 복귀 복귀 자동 경보 통과 통과 진입 경보 점검 경보 점검 통과 지연 통과 대기 경보 지연 점검 복귀 복귀 통과 자동 통과 수동 해제 통과 복귀 통과 수동 해제,0
5117,자동 수동 통과 복귀 지연 점검 진입 수동 통과 자동 점검 진입 복귀 지연 진입 경보 대기 진입 진입 지연 해제 대기 복귀 경보 진입 복귀 복귀 경보 경보 수동 해제 자동 경보,0
5370,수동 대기 진입 자동 복귀 통과 대기 자동 수동 해제 점검 대기 복귀 대기 수동 복귀 지연 지연 경보 통과 지연 진입 점검 지연 자동 통과 복귀,1
5192,수동 진입 통과 수동 복귀 자동 수동 점검 진입 대기 점검 복귀 지연 진입 대기 해제 점검 통과 자동 자동 해제 대기 해제 경보 복귀 점검,1
5107,자동 대기 지연 진입 경보 지연 통과 복귀 수동 경보 점검 대기 수동 복귀 경보 대기 대기 지연 진입 경보 진입 경보 자동 수동 경보 경보 복귀 지연 자동 점검,0
5052,수동 대기 지연 통과 점검 대기 복귀 점검 수동 경보 지연 점검 점검 점검 경보 통과 자동 수동 자동 자동 지연 통과 해제 경보 복귀,1
5279,자동 경보 통과 해제 해제 지연 복귀 점검 해제 해제 수동 복귀 자동 수동 자동 점검 수동 점검 해제 대기 통과 해제 점검 해제 해제 점검 통과 지연 대기,0
5040,수동 점검 대기 복귀 복귀 지연 수동 지연 대기 진입 경보 경보 지연 복귀 대기 복귀 자동 해제 진입 해제 진입 진입 점검 해제 통과 자동 통과 경보 지연 해제 진입 수동 경보 대기 복귀 자동,1
5377,자동 수동 복귀 대기 진입 자동 수동 진입 통과 복귀 경보 경보 대기 경보 복귀 복귀 복귀 대기 통과 경보 통과 진입 대기 점검 수동 진입 통과 대기 지연 자동 점검 통과,0
5392,수동 복귀 자동 수동 해제 지연 대기 통과 통과 지연 복귀 대기 통과 지연 대기 수동 지연 진입 경보 점검 복귀 자동 지연 자동 해제 경보 점검,1
5048,수동 경보 대기 자동 진입 자동 대기 해제 해제 수동 점검 수동 통과 진입 점검 해제 대기 자동 진입 대기 대기 진입 점검 진입 대기,1
5157,자동 대기 점검 대기 대기 지연 점검 지연 해제 수동 경보 지연 경보 대기 진입 점검 대기 수동 지연 점검 수동 통과 경보 대기 해제 대기 점검 복귀 경보 통과 복귀 지연 해제 해제 자동 자동,0
5217,자동 해제 지연 경보 복귀 지연 대기 통과 진입 수동 복귀 지연 수동 자동 통과 진입 자동 경보 경보 통과 경보 수동 진입 복귀,0
5235,자동 복귀 진입 점검 경보 진입 통과 지연 수동 점검 통과 진입 경보 자동 수동 해제 해제 지연 진입 진입 진입 지연 자동 대기 경보 지연 수동 경보 경보 복귀 점검,0
5294,수동 점검 점검 수동 복귀 자동 대기 복귀 경보 해제 복귀 대기 대기 지연 수동 복귀 통과 자동 통과 점검 대기 통과 통과 자동 진입,1
5208,수동 통과 지연 대기 지연 지연 지연 통과 자동 복귀 자동 수동 점검 통과 해제 수동 진입 진입 자동 지연 진입 점검 통과 경보 복귀 경보 통과 지연 복귀 경보,1
5308,수동 통과 경보 자동 자동 진입 경보 수동 경보 해제 대기 진입 지연 통과 지연 경보 경보 수동 자동 대기 복귀 대기 지연 통과 경보 해제 점검 해제,1
5306,수동 경보 통과 지연 통과 점검 복귀 지연 점검 대기 진입 대기 해제 진입 통과 해제 경보 대기 해제 경보 복귀 대기 수동 경보 경보 점검 수동 자동 대기 지연 자동 자동 지연 진입 진입,1
5196,수동 경보 점검 수동 자동 지연 수동 대기 해제 통과 경보 해제 해제 점검 복귀 자동 경보 자동 해제 경보 지연 진입 복귀 진입 점검,1
5276,수동 경보 해제 복귀 자동 대기 해제 지연 경보 경보 대기 지연 해제 복귀 지연 경보 해제 통과 지연 수동 진입 해제 대기 해제 대기 통과 수동 자동 복귀 해제 경보 자동,1
5151,자동 대기 통과 수동 경보 진입 경보 수동 지연 복귀 지연 점검 진입 대기 통과 경보 경보 자동 대기 복귀 통과 통과 자동 복귀 진입 복귀 해제 지연 수동 복귀 통과 복귀 점검 통과,0
5131,자동 복귀 지연 경보 대기 수동 대기 대기 지연 점검 통과 경보 복귀 진입 대기 해제 자동 점검 대기 수동 진입 대기 진입 해제 수동 경보 자동 대기 점검,0
5230,수동 통과 복귀 해제 진입 자동 점검 점검 통과 점검 지연 수동 경보 해제 자동 경보 수동 진입 복귀 대기 자동 경보 지연 경보 복귀 해제 지연 지연 통과,1
5386,수동 진입 경보 점검 지연 지연 지연 수동 해제 지연 점검 대기 대기 경보 자동 대기 점검 경보 점검 해제 점검 자동 대기 지연 자동 해제 수동 복귀,1
5281,자동 점검 해제 통과 통과 복귀 복귀 경보 지연 진입 복귀 진입 통과 경보 점검 수동 수동 통과 복귀 진입 점검 자동 해제 자동 해제 수동,0
5134,수동 지연 해제 해제 복귀 대기 복귀 경보 진입 진입 경보 해제 대기 해제 점검 지연 수동 점검 자동 경보 수동 대기 자동 경보 경보 자동 해제 지연 해제 지연,1
5341,자동 수동 수동 지연 진입 해제 복귀 진입 복귀 점검 점검 점검 자동 경보 진입 복귀 수동 해제 대기 대기 경보 대기 경보 자동 진입 통과,0
5340,수동 대기 지연 대기 복귀 자동 복귀 진입 통과 경보 진입 진입 대기 해제 수동 대기 복귀 통과 경보 자동 통과 해제 통과 지연 수동 지연 점검 진입 복귀 지연 자동,1
